date,observed,trend,seasonal,resid
2020-01-05,123514.1886425761,,1729.440325604806,
2020-01-12,123429.9728712121,,461.7466189039077,
2020-01-19,138711.0655204908,,6869.743366234408,
2020-01-26,131347.4462149766,,2383.523680936847,
2020-02-02,124776.5101223292,,2775.5269795938184,
2020-02-09,133987.7242090561,,12365.89256094291,
2020-02-16,127179.879158112,,11626.103889893744,
2020-02-23,130887.4228558715,,13696.700220112416,
2020-03-01,137681.788335868,,10958.971098042017,
2020-03-08,130713.8903664397,,11945.976236195052,
2020-03-15,136237.7058223236,,13606.804181102762,
2020-03-22,134520.9580988548,,10572.300251981844,
2020-03-29,137239.2085578569,,15799.303322726035,
2020-04-05,128718.451644401,,13755.156629195615,
2020-04-12,132474.0510294701,,12928.498448859882,
2020-04-19,136168.6109943521,,14644.934154193124,
2020-04-26,141595.6864757606,,19940.366158540255,
2020-05-03,149268.710089627,,12872.038858628297,
2020-05-10,137219.5835589085,,12862.158294147837,
2020-05-17,138771.5758465597,,12935.70651497781,
2020-05-24,132273.8680784856,,11597.117026579454,
2020-05-31,135189.3425099685,,4844.3293172401645,
2020-06-07,130098.0107133728,,11002.604378239765,
2020-06-14,125488.4462924321,,5304.298588572561,
2020-06-21,128708.072172657,,3929.391886172223,
2020-06-28,130573.1274790043,,3496.727703249231,
2020-07-05,128212.0887055263,128481.62898027654,-1420.6089560507646,1151.068681300527
2020-07-12,125447.8403627916,128692.90553356142,-4581.253264052881,1336.1880932830536
2020-07-19,132351.1110340363,128821.12031646867,-128.32649583628896,3658.3172134039087
2020-07-26,123963.9570932805,128903.20935015236,-5493.666597224379,554.4143403525231
2020-08-02,124562.8365482323,129046.42956804803,-7831.118765629079,3347.525745813349
2020-08-09,127690.9088621539,129387.54801596873,-8144.736952138614,6448.097798323783
2020-08-16,126172.5101439724,129797.24563590394,-6486.006715174764,2861.271223243224
2020-08-23,114055.4989606351,130113.36040534492,-11622.4612013509,-4435.400243358923
2020-08-30,122947.4239887146,130342.13884864213,-11545.694193293064,4150.979333365525
2020-09-06,113384.3995013176,130547.72965807674,-15280.67106862882,-1882.65908813032
2020-09-13,115808.3773955102,130858.99112181313,-13258.106292167031,-1792.5074341359068
2020-09-20,119178.4786315944,131182.03708462417,-16019.375882250031,4015.817429220253
2020-09-27,118497.1095283255,131522.62564525424,-15117.513068130123,2091.9969512013777
2020-10-04,133682.6421774744,131978.74824269974,-14463.402906863404,16167.296841638054
2020-10-11,121154.9321789571,132419.3969059808,-15648.982510155016,4384.517783131312
2020-10-18,120259.8281636604,132725.70202499555,-11764.034415599319,-701.8394457358409
2020-10-25,114621.627211205,133042.50283807804,-15259.788560915,-3161.087065958036
2020-11-01,121121.8005740997,133221.9477089854,-13908.463033450793,1808.3158985651062
2020-11-08,120647.0858842611,133412.0144214081,-8811.474250118401,-3953.4542870285877
2020-11-15,116292.571829804,133734.8010461963,-14389.297572306576,-3052.9316440857365
2020-11-22,127446.1392214895,134055.75267623956,-9229.993927951102,2620.3804732010467
2020-11-29,139007.0593727603,134457.51976184236,-7115.129536860044,11664.669147777986
2020-12-06,126161.3406745253,134824.174435593,-7638.311313493312,-1024.5224475743998
2020-12-13,127108.3477241598,135225.4232229986,-9007.33008401679,890.2545851779978
2020-12-20,125729.7245427474,135595.35668198642,-6057.5233236164095,-3808.108815622614
2020-12-27,132674.0678374092,135882.89802628732,-4682.089803593877,1473.2596147157637
2021-01-03,135693.5909721138,136120.66378422384,1729.440325604806,-2156.5131377148464
2021-01-10,133223.3320833027,136297.55142905173,461.7466189039077,-3535.9659646529435
2021-01-17,142252.0437307563,136454.58977659125,6869.743366234408,-1072.2894120693636
2021-01-24,136343.7275078123,136630.45921637505,2383.523680936847,-2670.2553894996054
2021-01-31,134675.1314906431,136862.74203769903,2775.5269795938184,-4963.137526649745
2021-02-07,159565.4214244972,137095.18063437898,12365.89256094291,10104.34822917532
2021-02-14,144210.7344159302,137406.47124513143,11626.103889893744,-4821.840719094969
