date,forecast,lower95,upper95
2024-12-29,198054.06295677915,182724.40150875514,213383.72440480316
2025-01-05,191229.19235114206,175819.1993225897,206639.18537969442
2025-01-12,193893.43250311838,178403.52703356228,209383.3379726745
2025-01-19,197221.9185041161,181652.51080934348,212791.3261988887
2025-01-26,195177.1317894156,179528.62581153368,210825.63776729754
2025-02-02,203573.7591071677,187846.5526800842,219300.96553425118
2025-02-09,210843.65900029804,195038.1440066602,226649.17399393587
2025-02-16,206274.32628321537,190390.8888041809,222157.76376224984
2025-02-23,207383.97574532512,191422.99620410858,223344.95528654166
2025-03-02,206071.82992239308,190033.68322225608,222109.97662253008
2025-03-09,210095.72765164796,193980.783308823,226210.6719944729
2025-03-16,206511.71230393744,190320.3345758606,222703.0900320143
2025-03-23,210772.8157451689,194505.36375431906,227040.26773601872
2025-03-30,208687.70810065922,192344.53595425136,225030.88024706708
2025-04-06,210268.4290469606,193849.8859527042,226686.972141217
2025-04-13,211211.60342769307,194718.0338058027,227705.17304958345
2025-04-20,219366.12343141393,202797.86702303964,235934.37983978822
2025-04-27,215116.32847979295,198473.72045202478,231758.93650756113
2025-05-04,209697.7579157501,192981.12896333894,226414.38686816124
2025-05-11,207594.7665899354,190804.4430338638,224385.09014600702
