date,ventas,split
2020-01-05,123514.1886425761,train
2020-01-12,123429.9728712121,train
2020-01-19,138711.0655204908,train
2020-01-26,131347.4462149766,train
2020-02-02,124776.5101223292,train
2020-02-09,133987.7242090561,train
2020-02-16,127179.879158112,train
2020-02-23,130887.4228558715,train
2020-03-01,137681.788335868,train
2020-03-08,130713.8903664397,train
2020-03-15,136237.7058223236,train
2020-03-22,134520.9580988548,train
2020-03-29,137239.2085578569,train
2020-04-05,128718.451644401,train
2020-04-12,132474.0510294701,train
2020-04-19,136168.6109943521,train
2020-04-26,141595.6864757606,train
2020-05-03,149268.710089627,train
2020-05-10,137219.5835589085,train
2020-05-17,138771.5758465597,train
2020-05-24,132273.8680784856,train
2020-05-31,135189.3425099685,train
2020-06-07,130098.0107133728,train
2020-06-14,125488.4462924321,train
2020-06-21,128708.072172657,train
2020-06-28,130573.1274790043,train
2020-07-05,128212.0887055263,train
2020-07-12,125447.8403627916,train
2020-07-19,132351.1110340363,train
2020-07-26,123963.9570932805,train
2020-08-02,124562.8365482323,train
2020-08-09,127690.9088621539,train
2020-08-16,126172.5101439724,train
2020-08-23,114055.4989606351,train
2020-08-30,122947.4239887146,train
2020-09-06,113384.3995013176,train
2020-09-13,115808.3773955102,train
2020-09-20,119178.4786315944,train
2020-09-27,118497.1095283255,train
2020-10-04,133682.6421774744,train
2020-10-11,121154.9321789571,train
2020-10-18,120259.8281636604,train
2020-10-25,114621.627211205,train
2020-11-01,121121.8005740997,train
2020-11-08,120647.0858842611,train
2020-11-15,116292.571829804,train
2020-11-22,127446.1392214895,train
2020-11-29,139007.0593727603,train
2020-12-06,126161.3406745253,train
2020-12-13,127108.3477241598,train
2020-12-20,125729.7245427474,train
2020-12-27,132674.0678374092,train
2021-01-03,135693.5909721138,train
2021-01-10,133223.3320833027,train
2021-01-17,142252.0437307563,train
2021-01-24,136343.7275078123,train
2021-01-31,134675.1314906431,train
2021-02-07,159565.4214244972,train
2021-02-14,144210.7344159302,train
2021-02-21,146732.5036199169,train
2021-02-28,145629.6656747333,train
2021-03-07,144147.4572087737,train
2021-03-14,155175.3312085728,train
2021-03-21,149180.1128449536,train
2021-03-28,158001.2641172859,train
2021-04-04,155393.1462193051,train
2021-04-11,151626.8174357975,train
2021-04-18,148871.5769655549,train
2021-04-25,161840.005065138,train
2021-05-02,147686.6580746137,train
2021-05-09,158568.5736658824,train
2021-05-16,150992.3947175601,train
2021-05-23,153432.0187319846,train
2021-05-30,155814.9687591613,train
2021-06-06,147604.470534246,train
2021-06-13,149711.8603617383,train
2021-06-20,142957.7378380884,train
2021-06-27,146227.7616208667,train
2021-07-04,137285.0933890609,train
2021-07-11,134771.1507413565,train
2021-07-18,139359.7887995817,train
2021-07-25,135245.7010652499,train
2021-08-01,137438.505993957,train
2021-08-08,138988.8534711435,train
2021-08-15,147248.7890532376,train
2021-08-22,140839.3754958491,train
2021-08-29,130812.2943198282,train
2021-09-05,130351.1705798998,train
2021-09-12,130386.963339738,train
2021-09-19,122973.011804892,train
2021-09-26,130925.2044517696,train
2021-10-03,123975.6604905387,train
2021-10-10,128477.3531599607,train
2021-10-17,134921.0512973574,train
2021-10-24,128806.9024187739,train
2021-10-31,134148.2067543634,train
2021-11-07,149145.7746463884,train
2021-11-14,135964.1479899857,train
2021-11-21,143741.3269675434,train
2021-11-28,137072.1220920595,train
2021-12-05,146914.1191447295,train
2021-12-12,134890.5638211681,train
2021-12-19,143012.5815547226,train
2021-12-26,144097.4093837996,train
2022-01-02,148530.7238789481,train
2022-01-09,152805.1832423635,train
2022-01-16,169868.8020010392,train
2022-01-23,153292.1788525249,train
2022-01-30,159003.2314247646,train
2022-02-06,159729.5211674549,train
2022-02-13,161336.785145893,train
2022-02-20,171253.9274622239,train
2022-02-27,159124.4031179594,train
2022-03-06,171972.2300311663,train
2022-03-13,162188.5242181951,train
2022-03-20,166771.1113580037,train
2022-03-27,168905.3073387713,train
2022-04-03,167753.7625891208,train
2022-04-10,164861.1821666776,train
2022-04-17,173047.1848083166,train
2022-04-24,171773.705755424,train
2022-05-01,164745.5426928752,train
2022-05-08,162435.7210404279,train
2022-05-15,176926.6568053627,train
2022-05-22,167895.8986448157,train
2022-05-29,163469.4324051405,train
2022-06-05,174972.8221018957,train
2022-06-12,158901.1172019977,train
2022-06-19,159781.2776921158,train
2022-06-26,162078.8206487912,train
2022-07-03,154296.2943999632,train
2022-07-10,154098.9322653531,train
2022-07-17,152974.298379286,train
2022-07-24,151619.9113855065,train
